programId_sv|programUniversity_sv|programTitle_sv|programDescription_sv|programPoints_sv|programYears_sv|programRequirements_sv|programAiDescription_sv|programPlace_sv|programDegree_sv|programLink
1|Kungliga Tekniska högskolan|Arkitektutbildning|Arkitektutbildningen på KTH ger dig färdigheter inom ett område som verkar mellan konst och vetenskap. Som arkitekt utvecklar du framtidens konstruktioner och miljöer för ett socialt och ekologiskt hållbart samhälle. Utbildningen uppfyller EU:s yrkeskvalifikationsdirektiv vilket gör att du kan jobba internationellt efter examen. Arkitektur handlar om allt mänskligt byggande och formgivande av miljön runt omkring oss. En viktig uppgift för arkitekter är att skapa hållbara livsmiljöer i en tid där vi måste minska vår miljöpåverkan och anpassa våra samhällen efter en växande befolkning och ett förändrat klimat. Det sker en snabb utveckling inom globalisering, urbanisering och digitalisering som ger arkitekter spännande utmaningar för en lång tid framöver. Exempelvis beräknas 70% av jordens befolkning bo i städer om 50 år, vilket kräver utformande av nya stadsmiljöer där arkitekten har en viktig uppgift i att se till att staden är till för alla. Under utbildningen är det centrala ämnet arkitektur. Du får lösa arkitekturuppgifter i projektform och utöver det läser du kurser i arkitekturens teori och historia, arkitekturteknik och konstnärliga ämnen. Arkitektutbildningen är organiserad i tre år på grundnivå följt av två fördjupningsår på avancerad nivå. Det är möjligt att avlägga kandidatexamen efter de tre första åren, men det är inte ett krav. Under det fjärde och femte året sker projektundervisningen i en serie valbara studior. Du läser även seminariekurser som anknyter till aktuell forskning inom arkitekturområdet. Utbildningen avslutas med ett examensarbete och det finns goda möjligheter att göra en del av utbildningen utomlands. Som arkitekt arbetar du med utveckling av framtidens samhälle. Du använder konstnärliga, strukturella och tekniska färdigheter för att formge interiörer, byggnader, städer och landskap. En viktig del är att utveckla konstruktioner för ett socialt och ekologiskt hållbart samhälle och använda miljövänliga material i samklang med naturen. Arbetsmarknaden för arkitekter blir allt mer internationell och du kan jobba på arkitektkontor, i den offentliga sektorn eller starta eget företag.|300|5|||På universitetet, KTH Campus|Arkitekt|https://www.kth.se/utbildning/arkitekt/arkitektutbildning
2|Kungliga Tekniska högskolan|Bioteknik, civilingenjör|Civilingenjörsutbildningen inom Bioteknik på KTH ger dig kunskaper som kan revolutionera områden som medicin, material och livsmedel. Kombinationen av biologi och teknik innebär nya möjligheter att lösa utmaningar inom hälsa, miljö och hur vi kan använda naturens egna processer för hållbar framställning av olika produkter. Efter examen väntar spännande möjligheter inom en rad olika framtidsområden. Bioteknik är ett snabbt växande ämnesområde som kombinerar kunskap om organismer med teknik för att använda celler på nya sätt. Det används till exempel för forskning om sjukdomar, att skapa nya material och utveckla grödor som klarar ett förändrat klimat. Utvecklingen av avancerad bioteknik har skapat en värld av möjligheter där medicin, kemi, fysik och matematik har integrerats och blivit ett eget fält. Med kunskaper i bioteknik har du möjlighet att jobba för en hållbar värld inom flera viktiga områden, exempelvis att begränsa smittspridning vid sjukdomsutbrott och pandemier. KTH-forskare inom ämnesområdet har utvecklat en storskalig metod för att säkerställa om individer haft covid-19. Under utbildningen lär du dig om genteknik, kemi, mikrobiologi och att lösa biotekniska utmaningar i projektform. Teknik och biologi integreras i utbildningen för att du ska bli bra på att utveckla processer och produkter där levande celler eller biomolekyler är centrala. Du får både praktisk och teoretisk erfarenhet och tränas i att söka kunskap och lösa problem. De första tre åren består av biologi, kemi, fysik, matematik och kurser som ger andra färdigheter, exempelvis projektledning, för att skapa en stabil och bred grundkompetens för en bioteknikingenjör. Efter år tre har du möjlighet att välja mellan olika masterprogram samt läsa delar av utbildningen utomlands. De kunskaper du får med dig ger dig spännande möjligheter i arbetslivet. Bioteknik är ett fält med snabb utveckling inom såväl forskning som industriprocesser. Du kan exempelvis jobba på företag som gör läkemedel, medicinska analyser, bioteknisk utrustning, eller andra industriella bioprocesser för exempelvis livsmedel, vattenrening och miljöteknik. Du kan också jobba med patent, ﬁnanser, forskningspolitik, journalistik eller inom konsultbranschen. Många väljer också att doktorera.  Biotekniksektorn i Sverige är världsledande inom flera områden, exempelvis att kartlägga människors proteiner. Det finns en intensiv forskningsverksamhet och ett aktivt näringsliv med allt från små bioteknikbolag till stora kommersiella företag specialiserade på biotekniskt framställda produkter eller tjänster.|300|5|||På universitetet, KTH Campus|Civilingenjör, kandidat, master|https://www.kth.se/utbildning/civilingenjor/bioteknik
3|Kungliga Tekniska högskolan|Byggteknik och design, högskoleingenjör|Högskoleingenjörsprogrammet inom Byggteknik och design på KTH ger dig möjlighet att vara med och forma Sveriges framtida byggnader och infrastruktur. Du får en vetenskaplig grund och djupa kunskaper inom bygg och infrastruktur för att kunna delta i byggandet av det hållbara samhället. Utbildningen förbereder dig för kvalificerat arbete inom samhällsbyggnadssektorn och har en direkt koppling till näringslivet – vilket ger dig goda karriärmöjligheter efter examen. Stora förändringar sker inom byggbranschen. Digitalisering, en växande befolkning och nya perspektiv på hållbarhet öppnar för nya möjligheter och utmaningar. Vi blir fler personer som ska bo på samma yta och ett förändrat klimat ställer nya krav på våra städer och samhällen. Hur stora/höga byggnader kan vi bygga utan att inverka för mycket på den sociala och ekologiska hållbarheten? Hur kan digitala verktyg användas för att optimera arbetet? På programmet i Byggteknik och design får du de verktyg du behöver för att kunna ta dig an de spännande utmaningarna. Byggteknik och design inkluderar kunskap om arkitektur och fastigheter, konstruktion, bygg, anläggningsteknik, byggproduktion samt byggekonomi. De två första åren läser du teoretiska och byggtekniska ämnen samt digitala verktyg. Det tredje året väljer du en inriktning med specialisering inom arkitektur och fastighetsutveckling, konstruktion, eller byggproduktion. Efter avslutad utbildning kan du exempelvis arbeta med projektledning, fastighetsförvaltning, husbyggnadsprojektering på arkitektkontor eller på konstruktionsbyrå. Du kan bli bygglovshandläggare, arbetsledare på byggarbetsplats eller ha andra byggrelaterade yrkesroller. Sveriges Byggindustrier är en del av ryggraden i Sveriges näringsliv som sysselsätter flera hundra tusen människor. Kommande stora pensionsavgångar gör att behovet av din kompetens är stort. Du kan börja arbeta direkt efter examen eller välja att fortsätta studera på en magister- eller masterutbildning i Sverige eller utomlands.|180|3|||På universitetet, KTH Campus|Högskoleingenjör|https://www.kth.se/utbildning/hogskoleingenjor/byggteknik-design
4|Kungliga Tekniska högskolan|Civilingenjör och lärare|Civilingenjör och lärare på KTH är en unik utbildning som leder till både en civilingenjörsexamen och en ämneslärarexamen. Samhället behöver kommunikativa civilingenjörer och tekniskt kunniga lärare. Med denna utbildning blir du både och. Efter utbildningen är du mycket eftertraktad på arbetsmarknaden, både inom näringslivet och skolvärlden. I alla delar av landet är behovet av gymnasielärare i fysik, kemi och teknik stort. Som lärare med djupt tekniskt kunnande har du möjlighet till att inspirera ungdomar att vilja lära sig om teknik – och ge dem möjligheter att i framtiden påverka teknik- och samhällsutvecklingen. Samtidigt behövs civilingenjörer i alla delar av samhället för att skapa lösningar för en mer hållbar värld. Tekniken blir en allt större del av våra liv, vilket innebär att teknisk kompetens är avgörande för att lösa globala hållbarhetsutmaningar. Det kan till exempel handla om att utveckla hållbara energilösningar, klimatanpassad samhällsplanering eller ny digital teknik. Utbildningen kombinerar pedagogik, kommunikation och lärande med civilingenjörens förmåga att hämta in kunskap och lösa problem. Du får färdigheter i att planera, genomföra och utveckla utbildning inom skola, företag och organisationer. Genom verksamhetsförlagd utbildning får du prova att jobba med pedagogisk verksamhet på gymnasieskola, museum eller science center.  I årskurs två väljer du en av de fyra inriktningarna:      Matematik och fysik     Matematik och kemi     Matematik och teknik med specialisering mot energi och miljö     Matematik och teknik med specialisering mot datateknik   Din lärarexamen utfärdas i matematik och i ett av ämnena fysik, kemi eller teknik, beroende på vilken inriktning du väljer. Efterfrågan ökar både vad gäller tekniskt kunniga lärare och pedagogiska ingenjörer som kan kommunicera teknik och naturvetenskap. Väljer du den här utbildningen får du en oslagbar kombination av kompetens som öppnar dörrar till många karriärmöjligheter inom exempelvis gymnasieskolan, konsulterande ingenjörsverksamhet, utbildningsavdelningar, forskning eller pedagogisk utveckling.  Efter examen kan du jobba som gymnasie- eller högstadielärare, på science centers eller museer. Du kan också jobba som ingenjör med bland annat utveckling eller utbildning på olika företag. Vanliga roller är mjukvarukonstruktör, konsult och pedagogisk utvecklare. Du har också goda möjligheter att fortsätta en akademisk bana som doktorand eller forskningsingenjör.|300|5|||På universitetet, KTH Campus|Civilingenjör, ämneslärare|https://www.kth.se/utbildning/civilingenjor/civing-larare
5|Kungliga Tekniska högskolan|Datateknik, civilingenjör|Civilingenjörsutbildningen inom Datateknik är en av KTH:s populäraste utbildningar och vänder sig till dig som vill vara med och påverka hur vårt alltmer digitala samhälle utvecklas. Efter examen väntar många kreativa arbetsuppgifter inom så gott som alla branscher, från traditionell industri och centrala samhällsfunktioner till nyare företag som utvecklar smarta appar, datorspel och sociala medier. Utvecklingen på det digitala området går snabbt och öppnar många nya möjligheter. Genom analys av stora mängder data (Big Data) kan vi lära oss mycket om exempelvis människor, samhälle och klimatet. Datorsimulering handlar inte längre bara om industriell design och datorspel – även biologiska processer kan simuleras för att ge kunskap om hur kroppen fungerar. Andra heta digitala utvecklingsområden är Internet of Things, datasäkerhet, e-hälsa och sociala medier. Samhällsfunktioner som sjukvård och banker genomgår stora förändringar i och med en ökande digitalisering och andra väntas följa efter. Som civilingenjör kommer du kunna vara en brygga mellan användarnas önskemål och teknikens möjligheter, risker och begränsningar. Utbildningen ger dig teoretiska kunskaper och praktiska färdigheter som gör det möjligt att använda datorer så att de gör nytta. Fokus ligger inledningsvis på att ge dig ett gediget kunnande om algoritmer och programutveckling. Därefter har du möjlighet att fördjupa dig inom det mesta som har med datorers användning att göra, som till exempel AI, datasäkerhet, dataanalys och virtuella verkligheter. Förutom de tekniska färdigheterna är det centralt i utbildningen att utveckla dina empatiska och kommunikativa förmågor. Du studerar en blandning av teknikfokuserade kurser i programmering och matematik tillsammans med ”mjukare” ämnen som teknisk kommunikation, företagsorganisation och ledarskap. Efter årskurs tre har du möjlighet att välja mellan många olika masterutbildningar och läsa delar av utbildningen utomlands. Som civilingenjör i datateknik har du en attraktiv nyckelkompetens. Många branscher genomgår stora omställningar där nya IT-system blir allt viktigare. Det gäller till exempel banker, transporter, hälso- och sjukvård samt underhållning – och utvecklingen väntas nå många andra områden mycket snart. Behovet av kvalificerade experter är stort och utexaminerade studenter från datateknikutbildningen har lätt att hitta intressanta och välbetalda jobb. Du kan exempelvis jobba som IT-chef, utvecklare, dataexpert, forskare, konsult eller som egenföretagare i ett mindre startup-företag.  Även internationellt är dina möjligheter till en spännande och varierad karriär stora. På engelska kallas ämnesområdet datateknik för Computer Science eller Software Engineering. Liksom i Sverige behövs experter inom området i många olika branscher världen över.|300|5|||På universitetet, KTH Campus|Civilingenjör, kandidat, master|https://www.kth.se/utbildning/civilingenjor/datateknik
6|Kungliga Tekniska högskolan|Datateknik, högskoleingenjör|Högskoleingenjörsprogrammet inom Datateknik på KTH är en utbildning inom tillämpad informationsteknologi som ger dig en bred kompetens inom programutveckling och nätverk. Efter utbildningen kan du exempelvis jobba med program- och systemutveckling, nätverk och datorsystem, informationssäkerhet, smarta telefoner, maskininlärning eller Internet of Things. I ett allt mer uppkopplad värld är datateknik och IT helt avgörande i utvecklingen mot ett hållbart samhälle. Elektroniska pengar, e-hälsa och uppkopplade hem är exempel på spännande framtidsområden med stora möjligheter. Datateknik används också för allt från underhållning över nätet, mobil kommunikation och sökmotorer för webben till medicinsk IT och stora affärssystem. På utbildningen lär du dig att bli en ingenjör med förmåga att använda och utveckla avancerad teknik, både självständigt och i grupp, något som du tränar särskilt genom projektkurser och ofta i samarbete med näringslivet. Utbildningen ger dig en bred teknisk bas med stora möjligheter till specialisering. Det tredje året kan du välja kurser inom olika tillämpningsområden som program- och systemutveckling, datornätverk och internettjänster, nätverkssäkerhet, programutveckling för inbyggda system och har även möjlighet till komplettering för fortsatta studier på masternivå. KTH har framstående forskning inom IT och här finns många kurser att välja mellan. Det är ett stort plus för dig som vill skaffa specialkompetens. Utbildningen avslutas med ett examensarbete oftast hos, eller på uppdrag av, ett företag. Som ingenjör inom datateknik har du karriärmöjligheter inom många områden. Du kan exempelvis jobba med program- och systemutveckling, internettjänster, datornätverk och utveckling av kommunikationstjänster, nätverks- och informationssäkerhet, operativsystem och medicinsk IT. Du kan också arbeta med tekniknära tillämpningar som inbyggda system, realtidsoperativsystem, smarta telefoner, Internet of Things och trådlösa sensorer.  Efter examen kan du jobba på rena IT- eller nätverksföretag, konsultföretag, eller i andra branscher med IT-infrastruktur, som till exempel banker och inom vården. Det konstanta behovet av ny teknik gör också att många studenter startar egna företag för att utveckla egna innovationer.|180|3|||På universitetet, KTH Flemingsberg|Högskoleingenjör|https://www.kth.se/utbildning/hogskoleingenjor/datateknik-flemingsberg/
7|Kungliga Tekniska högskolan|Datateknik, högskoleingenjör|Högskoleingenjörsprogrammet inom Datateknik passar dig som vill utveckla framtidens uppkopplade produkter och programvaror. Efterfrågan på nya tekniska lösningar är stor, bara kreativiteten sätter gränserna för vad som är möjligt. På KTH samarbetar du nära Sveriges mest framstående IT-företag och får flera praktiska erfarenheter. Som ingenjör i datateknik har du stora möjligheter att påverka och förbättra digitala lösningar. Digitaliseringen påverkar det mesta omkring oss, som hemmet, skolan, fordon, pengar, sjukvård, industri och underhållning. Allt detta är exempel på spännande och utmanande områden där datatekniken och dataingenjören ska komma med de framtida lösningarna. Utbildningens fokus ligger på teknik som tillämpar de möjligheter som erbjuds av internet och mobiltelefonnät som 5G. Du lär dig om processorer, programmering, datanätverk, databaser och säkerhet. Du får grunderna för utveckling av molntjänster och uppkopplade prylar. Under år tre fördjupar du dig inom programutveckling eller i sakernas internet. KTH har framstående forskning inom IT och här finns många kurser att välja mellan. Detta är ett stort plus för dig som vill skaffa specialkompetens. Du läser flera projektkurser där du jobbar i team och löser praktiska problem. Utbildningen avslutas med ett examensarbete som kan utföras antingen på KTH, utomlands eller på ett företag. Inriktningar: Sakernas internet (Internet of Things), Programutveckling. Efter examen väntar en bred och stor arbetsmarknad. Dataingenjörer behövs inom alla områden i samhället för att skapa, utveckla och underhålla IT-baserad datateknik i form av datorer, mjukvara, nätverk och applikationer. Du kan jobba på allt från dataföretag till sjukhus, industri och offentlig sektor.  Studenter från programmet jobbar ofta i roller som projektledare, konsulter, avdelningschefer eller med IT-support. Efter några år är det många som blir utvecklare och IT-arkitekter. Den snabba utvecklingen på IT-området gör att många KTH-studenter startar egna företag, ofta tillsammans med kurskamrater.|180|3|||På universitetet, KTH Kista|Högskoleingenjör|https://www.kth.se/utbildning/hogskoleingenjor/datateknik-kista/
8|Kungliga Tekniska högskolan|Design och produktframtagning, civilingenjör|Civilingenjörsutbildningen inom Design och produktframtagning på KTH ger dig de verktyg du behöver för att ta fram nya produkter. Du lär dig om hela processen, från idé till färdig produkt. Med kunskaper och färdigheter inom industridesign kan du skapa produkter för ett hållbart samhälle – allt från eldrivna lastbilar till framtidens smarta klädesplagg. Redan under dagens första timme kommer du i kontakt med ett stort antal produkter. Du vaknar antagligen av ditt mobilalarm eller en väckarklocka. Du använder kanske ett duschmunstycke, schampo, handduk och sedan en brödrost, mikrovågsugn, osthyvel, kaffekokare eller kastrull. Alla dessa produkter har skapats och utformats för att du ska kunna använda dem på bästa sätt. Numera behöver produkter också tillverkas med hänsyn till klimat- och miljöpåverkan. Allteftersom tekniken och samhället utvecklas uppkommer nya behov. Med kunskap om design och produktframtagning har du möjlighet att utveckla produkter för en hållbar framtid. Utbildningen kombinerar industridesign och ingenjörsvetenskap och inkluderar allt från mekanik till materialkunskap, konstruktion och tillverkning. Varje termin görs projektarbeten, ofta tillsammans med företag, där du får vara med och ta fram innovativa produkter. Efter de tre första åren väljer du en av nio masterutbildningar med specialiseringar inom design, olika teknikområden och hållbarhet. Många väljer att läsa en eller flera terminer på våra utländska partneruniversitet.   Utbildningen ger dig kunskap om hela produktframtagningsprocessen och studierna är både teoretiska och praktiska. Du lär dig hur en designprocess fungerar, hur du arbetar med användaren i fokus och hur du kommunicerar och visualiserar idéer. Du lär dig även att tillämpa kunskaperna från övriga teoretiska kurser i ett produktframtagningsperspektiv. Studierna gör dig väl förberedd för spännande karriärmöjligheter inom exempelvis produktutveckling, design, hållbar utveckling, projektledning och produktion. Dina arbetsuppgifter har både kreativa och praktiska inslag som ofta kräver att du kan tänka i nya banor för att se lösningar. Det handlar om att förstå vad dagens och framtidens människor har för behov – och komma på idéer för nya produkter som kan lösa problem för användarna. Du kan sedan jobba med utveckling av produkten, ofta i nära samarbete med de som ska använda den.  Eftersom produkter behövs inom nästan alla områden och branscher finns stora valmöjligheter, både i Sverige och för en internationell karriär. Du kan till exempel jobba med att anpassa produkter efter människors behov och begränsningar – och se till att de kommer kunna användas på bästa sätt. Du har kunskap om hur kroppar påverkas av yttre krafter, något som är användbart när det kommer till att utveckla hjälmar eller säkerhet i bilar och hem. Det sker en snabb utveckling på det digitala området, och möjligheterna att utveckla interaktiva produkter är stora. Du kan arbeta på stora eller små företag, som konsult eller starta eget. Vissa väljer även att forska inom teknik och design.|300|5|||På universitetet, KTH Campus|Civilingenjör, kandidat, master|https://www.kth.se/utbildning/civilingenjor/design-produktframtagning
9|Kungliga Tekniska högskolan|Elektronik och datorteknik, högskoleingenjör|Högskoleingenjörsprogrammet inom Elektronik och datorteknik på KTH ger kunskap om allt som har med elektroniksystem att göra. Du får eftertraktad kompetens inom elektronik och programmering som öppnar dörrar till ett spännande arbetsliv. Redan under studietiden får du samarbeta med världsledande företag som medverkar i programmets utformning. Många elektroniska produkter och system innehåller datorer som kan programmeras. Elektronik finns i allt från våra smartphones och bilar till livsviktig sjukvårdsutrustning. Området trådlös kommunikation och internet har revolutionerat vårt sätt att leva, kommunicera och hantera information. Nästa stora utveckling förväntas ske på området sakernas internet, där olika produkter kopplas upp mot internet. Tekniken kan exempelvis användas för att minska klimatpåverkan från industrin och bygga tryggare boenden. Möjligheterna inom elektronik och datorteknik är närmast oändliga och tekniken spelar en viktig roll i att forma våra liv och samhällen. Utbildningen ger dig kunskap om både hårdvara och mjukvara. Du lär dig om utvecklingen av produkter som kan programmeras – som exempelvis inbyggda datorer, appar och uppkopplade produkter (sakernas internet). Du läser även ﬂera projektkurser där du utvecklar förmågan att jobba i team och lär dig hur projekt bedrivs i företag. Utbildningen avslutas med ett examensarbete som kan utföras antingen på KTH eller på ett företag, i Sverige eller utomlands. Efter examen kan studenterna söka sig till arbetsmarknaden direkt eller ta en master, till exempel inom Embedded Systems. Efter examen har du en framtid inom utvecklingen av programmerbara elektronikprodukter. Elektronikindustrin kan delas in i företag som framställer elektroniksystem, använder elektroniksystem i sina produkter och de som är beroende av elektronik för sin tillverkning eller verksamhet. Elektronik är en naturlig del av många olika branscher och möjligheterna till jobb är goda.  Den svenska elektronikbranschen är väldigt stor eftersom den ingår i många andra branscher. Det finns ett enormt behov av ingenjörer med kunskaper inom elektronik, programmering och systemtänkande – vilket ger dig möjligheter till en spännande och varierad karriär, både i Sverige och utomlands. Det är vanligt att jobba i team tillsammans med andra med att utveckla, konstruera och testa produkter och system. Du kan exempelvis jobba med fordonsutveckling, konsumentprodukter, medicinsk utrustning, kommunikation eller energiförsörjning. Kanske är du med och skapar framtidens produkter för ett energisnålt och hållbart samhälle.|180|3|||På universitetet, KTH Campus, KTH Kista|Högskoleingenjör|https://www.kth.se/utbildning/hogskoleingenjor/elektronik-datorteknik
10|Kungliga Tekniska högskolan|Elektroteknik, högskoleingenjör|Högskoleingenjörsprogrammet inom Elektroteknik på KTH ger en stabil grund för att direkt efter examen kunna jobba inom i stort sett alla tekniska branscher. Elektroteknik har en avgörande betydelse för framtidens näringsliv och ett hållbart samhälle. Det är bland annat en förutsättning för smarta elnät och en övergång till förnybara energikällor. Elektroteknik bygger på elektricitet och magnetism och innefattar så gott som all den teknik som använder elektricitet. Utvecklingen inom området ligger till grund för mycket av den nya teknik vi ser i samhället i dag, som exempelvis mobiltelefoner, robotar och solceller. Dagens samhälle är väldigt beroende av elektroteknik som finns i allt från våra trafiksystem till våra sjukhus. Framtidens hållbara samhälle bygger även på att vi lyckas utveckla hållbara lösningar inom elektroteknik. Exempelvis behövs elektroteknik för klimatsmarta transporter, förnybar energi, e-hälsa och att hantera den ständigt ökande datatrafiken. Du utbildar dig till ingenjör med kompetens att använda och utveckla avancerad teknik till exempel för att förse samhällen med förnybar el eller att hantera den ökande mängden data och många andra spännande tillämpningar däremellan. Under det tredje året kan du välja kurser inom två olika tillämpningsområden: Elkraftteknik eller Inbyggda system och datornätverk. Du har även möjlighet att komplettera för fortsatta studier på masternivå. Efter examen har du goda karriärmöjligheter inom området elektroteknik. Du kan exempelvis jobba med elektriska installationer, elnätet och framtidens energiförsörjning, elektronik och inbyggda system.  Du kan även jobba med områden som framtidens transporter, mobiltelefoni, Internet of Things, mobil kommunikation, eller framtidens fordons- och järnvägsteknik. Det finns även stora möjligheter att arbeta med medicintekniska lösningar för en förbättrad hälso- och sjukvård.|180|3|||På universitetet, KTH Flemingsberg|Högskoleingenjör|https://www.kth.se/utbildning/hogskoleingenjor/elektroteknik
